name1,name2,cat_id,normalized_text,tokens
کاپشن مردانه کارتال مدا ICC,,0,کاپشن مردانه کارتال مدا icc,"['کاپشن', 'مردانه', 'کارتال', 'مدا', 'icc']"
کاپشن پر مردانه طوسی کد 4566,,0,کاپشن مردانه طوسی,"['کاپشن', 'مردانه', 'طوسی']"
کاپشن چرم,,0,کاپشن چرم,"['کاپشن', 'چرم']"
کاپشن مردانه ساده طوسی تیره مدلAidin,,0,کاپشن مردانه ساده طوسی تیره مدلaidin,"['کاپشن', 'مردانه', 'ساده', 'طوسی', 'تیره', 'مدلaidin']"
کاپشن جین ترک - آبی / 4xl,,0,کاپشن جین ترک آبی,"['کاپشن', 'جین', 'ترک', 'آبی']"
پافر,,0,پافر,['پافر']
پافر شمعی مردانه G-STAR رنگ طوسی سربی,,0,پافر شمعی مردانه star رنگ طوسی سربی,"['پافر', 'شمعی', 'مردانه', 'star', 'رنگ', 'طوسی', 'سربی']"
پالتو فوتر ترک,,0,پالتو فوتر ترک,"['پالتو', 'فوتر', 'ترک']"
اورکت خزدار,,0,اورکت خزدار,"['اورکت', 'خزدار']"
لباس کاتا آدیداس 12 اونس اصل (adidas kata gi),,0,لباس کاتا آدیداس اونس اصل adidas kata,"['لباس', 'کاتا', 'آدیداس', 'اونس', 'اصل', 'adidas', 'kata']"
HORSEFEATHERS CORDON II STORM,,0,horsefeathers cordon storm,"['horsefeathers', 'cordon', 'storm']"
کاپشن چرم,,0,کاپشن چرم,"['کاپشن', 'چرم']"
بادگیر بلوز شلوار خزدار درجه 1 طرح چرم فری سایز ضدآب ضد باد,,0,بادگیر بلوز شلوار خزدار درجه طرح چرم فری سایز ضدآب باد,"['بادگیر', 'بلوز', 'شلوار', 'خزدار', 'درجه', 'طرح', 'چرم', 'فری', 'سایز', 'ضدآب', 'باد']"
HORSEFEATHERS HALEN II INSULATED FLAME RED,,0,horsefeathers halen insulated flame red,"['horsefeathers', 'halen', 'insulated', 'flame', 'red']"
کاپشن,,0,کاپشن,['کاپشن']
کاپشن برشکا,,0,کاپشن برشکا,"['کاپشن', 'برشکا']"
بادگیر بلوز شلوار خزدار کرتکس ژاپن بدون درز درجه 1,,0,بادگیر بلوز شلوار خزدار کرتکس ژاپن بدون درز درجه,"['بادگیر', 'بلوز', 'شلوار', 'خزدار', 'کرتکس', 'ژاپن', 'بدون', 'درز', 'درجه']"
پافر,,0,پافر,['پافر']
کاپشن ضدآب و ضدباد برند CRIVIT ا Waterproof and windproof jacket CRIVIT,Waterproof and windproof jacket CRIVIT,0,کاپشن ضدآب ضدباد برند crivit waterproof and windproof jacket crivit,"['کاپشن', 'ضدآب', 'ضدباد', 'برند', 'crivit', 'waterproof', 'and', 'windproof', 'jacket', 'crivit']"
کاپشن شمعی مردانه PHILIPP PLEIN رنگ سرمه ای,,0,کاپشن شمعی مردانه philipp plein رنگ سرمه,"['کاپشن', 'شمعی', 'مردانه', 'philipp', 'plein', 'رنگ', 'سرمه']"
کاپشن فرم دو آستر تمام فسفری ستادی اورژانس,,0,کاپشن فرم آستر تمام فسفری ستادی اورژانس,"['کاپشن', 'فرم', 'آستر', 'تمام', 'فسفری', 'ستادی', 'اورژانس']"
پافر مردانه ی دو رو - زرد و مشکی / 3XL,,0,پافر مردانه زرد مشکی,"['پافر', 'مردانه', 'زرد', 'مشکی']"
کاپشن زمستانی | پارچه شمعی | رنگ سبز تیره آستر پشم شیشه [ویدئو] کد 30758,,0,کاپشن زمستانی پارچه شمعی رنگ سبز تیره آستر پشم شیشه ویدئو,"['کاپشن', 'زمستانی', 'پارچه', 'شمعی', 'رنگ', 'سبز', 'تیره', 'آستر', 'پشم', 'شیشه', 'ویدئو']"
کاپشن و بارونی,,0,کاپشن بارونی,"['کاپشن', 'بارونی']"
کاپشن کتان ا Jeep 8642,Jeep 8642,0,کاپشن کتان jeep,"['کاپشن', 'کتان', 'jeep']"
کاپشن شمعی مردانه مدل DEFACTO رنگ مشکی,,0,کاپشن شمعی مردانه مدل defacto رنگ مشکی,"['کاپشن', 'شمعی', 'مردانه', 'مدل', 'defacto', 'رنگ', 'مشکی']"
کاپشن میکرو ضد آب نیم تنه یقه خزدار - مشکی / XL,,0,کاپشن میکرو نیم تنه یقه خزدار مشکی,"['کاپشن', 'میکرو', 'نیم', 'تنه', 'یقه', 'خزدار', 'مشکی']"
HORSEFEATHERS SPENCER BURGUNDY BLUE MIRAGE,,0,horsefeathers spencer burgundy blue mirage,"['horsefeathers', 'spencer', 'burgundy', 'blue', 'mirage']"
کاپشن مردانه رنگ زرشکی,,0,کاپشن مردانه رنگ زرشکی,"['کاپشن', 'مردانه', 'رنگ', 'زرشکی']"
کاپشن مردانه - L,,0,کاپشن مردانه,"['کاپشن', 'مردانه']"
کاپشن مردانه Fashion,,0,کاپشن مردانه fashion,"['کاپشن', 'مردانه', 'fashion']"
کاپشن مردانه Kiabi,,0,کاپشن مردانه kiabi,"['کاپشن', 'مردانه', 'kiabi']"
کاپشن خلبانی - شمعی سه لایه / مشکی / M,,0,کاپشن خلبانی شمعی لایه مشکی,"['کاپشن', 'خلبانی', 'شمعی', 'لایه', 'مشکی']"
کاپشن کراپ,,0,کاپشن کراپ,"['کاپشن', 'کراپ']"
کاپشن مردانه طرح چریکی,,0,کاپشن مردانه طرح چریکی,"['کاپشن', 'مردانه', 'طرح', 'چریکی']"
کاپشن اور,,0,کاپشن اور,"['کاپشن', 'اور']"
برند میلت ا Millet,Millet,0,برند میلت millet,"['برند', 'میلت', 'millet']"
پافر,,0,پافر,['پافر']
کاپشن مردانه برشکا - مشکی / L,,0,کاپشن مردانه برشکا مشکی,"['کاپشن', 'مردانه', 'برشکا', 'مشکی']"
OAKLEY HOLLY ANORAK BLACKOUT,,0,oakley holly anorak blackout,"['oakley', 'holly', 'anorak', 'blackout']"
پانجو جا کوله داربرند کمپسور,,0,پانجو کوله داربرند کمپسور,"['پانجو', 'کوله', 'داربرند', 'کمپسور']"
کاپشن مردانه A003,,0,کاپشن مردانه,"['کاپشن', 'مردانه']"
کاپشن اورجینال THE NORTH FACE,,0,کاپشن اورجینال the north face,"['کاپشن', 'اورجینال', 'the', 'north', 'face']"
کاپشن شمعی مردانه مدل DEFACTO رنگ طوسی,,0,کاپشن شمعی مردانه مدل defacto رنگ طوسی,"['کاپشن', 'شمعی', 'مردانه', 'مدل', 'defacto', 'رنگ', 'طوسی']"
کاپشن سیلیکونی ضد آب (اصل)یقه طرحدار استین گت دار و انگشتی کار کاملا آستر کشی شده و گرم,,0,کاپشن سیلیکونی اصل یقه طرحدار استین دار انگشتی کار کاملا آستر کشی شده گرم,"['کاپشن', 'سیلیکونی', 'اصل', 'یقه', 'طرحدار', 'استین', 'دار', 'انگشتی', 'کار', 'کاملا', 'آستر', 'کشی', 'شده', 'گرم']"
کاپشن مردانه کتان - کرمی / L ا Kapshan mardaneh katan,Kapshan mardaneh katan,0,کاپشن مردانه کتان کرمی kapshan mardaneh katan,"['کاپشن', 'مردانه', 'کتان', 'کرمی', 'kapshan', 'mardaneh', 'katan']"
کاپشن مردانه COLINS کد CL1055715,,0,کاپشن مردانه colins,"['کاپشن', 'مردانه', 'colins']"
کاپشن مردانه طرح لویی ویتون کد 4285,,0,کاپشن مردانه طرح لویی ویتون,"['کاپشن', 'مردانه', 'طرح', 'لویی', 'ویتون']"
پالتو پشمی هوگرو مردانه 10436,,0,پالتو پشمی هوگرو مردانه,"['پالتو', 'پشمی', 'هوگرو', 'مردانه']"
کاپشن شمعی مردانه PHILIPP PLEIN رنگ سبز یشمی,,0,کاپشن شمعی مردانه philipp plein رنگ سبز یشمی,"['کاپشن', 'شمعی', 'مردانه', 'philipp', 'plein', 'رنگ', 'سبز', 'یشمی']"
کاپشن خلبانی چرمی نوبوک یقه خز قهوه ای مردانه نیروی هوایی دری مد,,0,کاپشن خلبانی چرمی نوبوک یقه قهوه مردانه نیروی هوایی دری,"['کاپشن', 'خلبانی', 'چرمی', 'نوبوک', 'یقه', 'قهوه', 'مردانه', 'نیروی', 'هوایی', 'دری']"
کاپشن دوپوش,,0,کاپشن دوپوش,"['کاپشن', 'دوپوش']"
پالتو فوتر ترک,,0,پالتو فوتر ترک,"['پالتو', 'فوتر', 'ترک']"
کاپشن شمعی مردانه مدل PHILIPP PLEIN رنگ سبز زیتونی درسایزهای XL XXL,,0,کاپشن شمعی مردانه مدل philipp plein رنگ سبز زیتونی درسایزهای xxl,"['کاپشن', 'شمعی', 'مردانه', 'مدل', 'philipp', 'plein', 'رنگ', 'سبز', 'زیتونی', 'درسایزهای', 'xxl']"
پافر زنانه و مردانه 36054,,0,پافر زنانه مردانه,"['پافر', 'زنانه', 'مردانه']"
کاپشن پلیسی کمر کش دار,,0,کاپشن پلیسی کمر دار,"['کاپشن', 'پلیسی', 'کمر', 'دار']"
کاپشن مردانه ریباک REEBOK IC9165,,0,کاپشن مردانه ریباک reebok,"['کاپشن', 'مردانه', 'ریباک', 'reebok']"
کاپشن ضد آب برند نویکا ا Nevica,Nevica,0,کاپشن برند نویکا nevica,"['کاپشن', 'برند', 'نویکا', 'nevica']"
کاپشن چرم مردانه مدل Artim ا Artim,Artim,0,کاپشن چرم مردانه مدل artim artim,"['کاپشن', 'چرم', 'مردانه', 'مدل', 'artim', 'artim']"
کاپشن کتان مردانه,,0,کاپشن کتان مردانه,"['کاپشن', 'کتان', 'مردانه']"
کاپشن شمعی مردانه PHILIPP PLEIN رنگ شتری,,0,کاپشن شمعی مردانه philipp plein رنگ شتری,"['کاپشن', 'شمعی', 'مردانه', 'philipp', 'plein', 'رنگ', 'شتری']"
کاپشن تمام چرمی ریس برند SPYKE ایتالیا,,0,کاپشن تمام چرمی ریس برند spyke ایتالیا,"['کاپشن', 'تمام', 'چرمی', 'ریس', 'برند', 'spyke', 'ایتالیا']"
کاپشن مردانه کتان داخل خز ضخیم برند جیپ سنگشور شده,,0,کاپشن مردانه کتان داخل ضخیم برند جیپ سنگشور شده,"['کاپشن', 'مردانه', 'کتان', 'داخل', 'ضخیم', 'برند', 'جیپ', 'سنگشور', 'شده']"
بادگیر خارجی داخل استر مردانه و پسرانه|رنگ بندی و سایز بندی کامل| فروشگاه سام سنتر - L / سرمه ای سفید,,0,بادگیر خارجی داخل استر مردانه پسرانه رنگ بندی سایز بندی کامل فروشگاه سام سنتر سرمه سفید,"['بادگیر', 'خارجی', 'داخل', 'استر', 'مردانه', 'پسرانه', 'رنگ', 'بندی', 'سایز', 'بندی', 'کامل', 'فروشگاه', 'سام', 'سنتر', 'سرمه', 'سفید']"
کاپشن مردانه فلیپ بلین ترک - s,,0,کاپشن مردانه فلیپ بلین ترک,"['کاپشن', 'مردانه', 'فلیپ', 'بلین', 'ترک']"
تدی مردانه خوزان,,0,تدی مردانه خوزان,"['تدی', 'مردانه', 'خوزان']"
کاپشن پاف مردانه فورکلاز – پر – آبی – MT500 -10°C,,0,کاپشن پاف مردانه فورکلاز آبی,"['کاپشن', 'پاف', 'مردانه', 'فورکلاز', 'آبی']"
کاپشن مموری مردانه بادی Kiyan 40317 - XL,,0,کاپشن مموری مردانه بادی kiyan,"['کاپشن', 'مموری', 'مردانه', 'بادی', 'kiyan']"
بارانی مردانه کچوا- مشکی – زیپ کامل Raincut,,0,بارانی مردانه کچوا مشکی زیپ کامل raincut,"['بارانی', 'مردانه', 'کچوا', 'مشکی', 'زیپ', 'کامل', 'raincut']"
کاپشن الیاف مردانه فورکلاز مدل Trek 100 کد 127375,,0,کاپشن الیاف مردانه فورکلاز مدل trek,"['کاپشن', 'الیاف', 'مردانه', 'فورکلاز', 'مدل', 'trek']"
کاپشن وارداتی,,0,کاپشن وارداتی,"['کاپشن', 'وارداتی']"
کاپشن پوست ماری مردانه رنگ بندی و سایز بندی کامل و شیک |سام سنتر - L / مشکی,,0,کاپشن پوست ماری مردانه رنگ بندی سایز بندی کامل شیک سام سنتر مشکی,"['کاپشن', 'پوست', 'ماری', 'مردانه', 'رنگ', 'بندی', 'سایز', 'بندی', 'کامل', 'شیک', 'سام', 'سنتر', 'مشکی']"
بادگیر بلوز شلوار دیجیتالی سبز خزدار درجه 1,,0,بادگیر بلوز شلوار دیجیتالی سبز خزدار درجه,"['بادگیر', 'بلوز', 'شلوار', 'دیجیتالی', 'سبز', 'خزدار', 'درجه']"
کاپشن چرم کنیاک مردانه فورد دری مد,,0,کاپشن چرم کنیاک مردانه فورد دری,"['کاپشن', 'چرم', 'کنیاک', 'مردانه', 'فورد', 'دری']"
کاپشن اورجینال نیم تنه پلیسی,,0,کاپشن اورجینال نیم تنه پلیسی,"['کاپشن', 'اورجینال', 'نیم', 'تنه', 'پلیسی']"
کاپشن چرم مشکی اسپرت مردانه پاسکال دری مد,,0,کاپشن چرم مشکی اسپرت مردانه پاسکال دری,"['کاپشن', 'چرم', 'مشکی', 'اسپرت', 'مردانه', 'پاسکال', 'دری']"
کاپشن شمعی مردانه مدل DEFACTO رنگ سرمه ای,,0,کاپشن شمعی مردانه مدل defacto رنگ سرمه,"['کاپشن', 'شمعی', 'مردانه', 'مدل', 'defacto', 'رنگ', 'سرمه']"
کاپشن پر سنگین برند کلمبیا ا Colombia,Colombia,0,کاپشن سنگین برند کلمبیا colombia,"['کاپشن', 'سنگین', 'برند', 'کلمبیا', 'colombia']"
کاپشن سلیکونی,,0,کاپشن سلیکونی,"['کاپشن', 'سلیکونی']"
HORSEFEATHERS HALEN II INSULATED BLUE MIRAGE,,0,horsefeathers halen insulated blue mirage,"['horsefeathers', 'halen', 'insulated', 'blue', 'mirage']"
پالتو مردانه مدل ماهوت یقه بلیزر کد TH رنگ سرمه ای,,0,پالتو مردانه مدل ماهوت یقه بلیزر رنگ سرمه,"['پالتو', 'مردانه', 'مدل', 'ماهوت', 'یقه', 'بلیزر', 'رنگ', 'سرمه']"
بادگیر اورجینال برند معتبر و استثنای Jeantex آلمان,,0,بادگیر اورجینال برند معتبر استثنای jeantex آلمان,"['بادگیر', 'اورجینال', 'برند', 'معتبر', 'استثنای', 'jeantex', 'آلمان']"
کاپشن چرم اسلیم فیت اسلیم فیت قهوه ای دورانت مردانه دری مد,,0,کاپشن چرم اسلیم فیت اسلیم فیت قهوه دورانت مردانه دری,"['کاپشن', 'چرم', 'اسلیم', 'فیت', 'اسلیم', 'فیت', 'قهوه', 'دورانت', 'مردانه', 'دری']"
کاپشن پر مردانه کرمی روشن کد 4565,,0,کاپشن مردانه کرمی روشن,"['کاپشن', 'مردانه', 'کرمی', 'روشن']"
پافر دو رو داخل تدی مردانه و پسرانه شیک سایز بندی و رنگ بندی کامل کیفیت بالا |فروشگاه سام سنتر - M / مشکی,,0,پافر داخل تدی مردانه پسرانه شیک سایز بندی رنگ بندی کامل کیفیت بالا فروشگاه سام سنتر مشکی,"['پافر', 'داخل', 'تدی', 'مردانه', 'پسرانه', 'شیک', 'سایز', 'بندی', 'رنگ', 'بندی', 'کامل', 'کیفیت', 'بالا', 'فروشگاه', 'سام', 'سنتر', 'مشکی']"
کاپشن اورکت آمریکایی جیپ کد C8823,,0,کاپشن اورکت آمریکایی جیپ,"['کاپشن', 'اورکت', 'آمریکایی', 'جیپ']"
کاپشن و بارونی,,0,کاپشن بارونی,"['کاپشن', 'بارونی']"
کاپشن مردانه C151,,0,کاپشن مردانه,"['کاپشن', 'مردانه']"
کاپشن مردانه پشمه شیشه‌دار - مدل کمرکش,,0,کاپشن مردانه پشمه شیشه‌دار مدل کمرکش,"['کاپشن', 'مردانه', 'پشمه', 'شیشه\u200cدار', 'مدل', 'کمرکش']"
پافر مردانه کد 19562 ا Men's west,Men's west,0,پافر مردانه men west,"['پافر', 'مردانه', 'men', 'west']"
کاپشن بهاره مردانه آندر آرمور مدل UA SPORTSTYLE,,0,کاپشن بهاره مردانه آندر آرمور مدل sportstyle,"['کاپشن', 'بهاره', 'مردانه', 'آندر', 'آرمور', 'مدل', 'sportstyle']"
کاپشن پافر مردانه - L / مموری,,0,کاپشن پافر مردانه مموری,"['کاپشن', 'پافر', 'مردانه', 'مموری']"
کاپشن مموری مردانه Alma 39603 - XL,,0,کاپشن مموری مردانه alma,"['کاپشن', 'مموری', 'مردانه', 'alma']"
کاپشن مردانه آبی مشکی مدل 1384,,0,کاپشن مردانه آبی مشکی مدل,"['کاپشن', 'مردانه', 'آبی', 'مشکی', 'مدل']"
کاپشن یقه دار مردانه هوگرو 10356,,0,کاپشن یقه دار مردانه هوگرو,"['کاپشن', 'یقه', 'دار', 'مردانه', 'هوگرو']"
کاپشن مردانه Fila مدل Silva نوک مدادی جنس پارچه مموری 3 لایه دارای یک لایه پشم شیشه سایز L قد کاپشن 75cm,,0,کاپشن مردانه fila مدل silva نوک مدادی جنس پارچه مموری لایه دارای لایه پشم شیشه سایز کاپشن,"['کاپشن', 'مردانه', 'fila', 'مدل', 'silva', 'نوک', 'مدادی', 'جنس', 'پارچه', 'مموری', 'لایه', 'دارای', 'لایه', 'پشم', 'شیشه', 'سایز', 'کاپشن']"
پالتو مردانه مشکی چرم خزدار,,0,پالتو مردانه مشکی چرم خزدار,"['پالتو', 'مردانه', 'مشکی', 'چرم', 'خزدار']"
تی شرت,,0,شرت,['شرت']
پالتو مردانه فوتر دیورسو Diverso,,0,پالتو مردانه فوتر دیورسو diverso,"['پالتو', 'مردانه', 'فوتر', 'دیورسو', 'diverso']"
کاپشن جین-آلومینیوم سپاس,,0,کاپشن جین آلومینیوم سپاس,"['کاپشن', 'جین', 'آلومینیوم', 'سپاس']"
کاپشن چرم مردانه سیاه برند derimod 5638115972 ا Siyah Kawhi Erkek Deri Ceket,Siyah Kawhi Erkek Deri Ceket,0,کاپشن چرم مردانه سیاه برند derimod siyah kawhi erkek deri ceket,"['کاپشن', 'چرم', 'مردانه', 'سیاه', 'برند', 'derimod', 'siyah', 'kawhi', 'erkek', 'deri', 'ceket']"
پافر زارا,,0,پافر زارا,"['پافر', 'زارا']"
کاپشن چرم مردانه Chao مدل 2908,,0,کاپشن چرم مردانه chao مدل,"['کاپشن', 'چرم', 'مردانه', 'chao', 'مدل']"
کاپشن دو روی پاییزه زمستانه مردانه رنگ مشکی سورمه ای کد 1641,,0,کاپشن روی پاییزه زمستانه مردانه رنگ مشکی سورمه,"['کاپشن', 'روی', 'پاییزه', 'زمستانه', 'مردانه', 'رنگ', 'مشکی', 'سورمه']"
کاپشن پاول اند شارک مردانه - Paul&Shark 12312150,,0,کاپشن پاول اند شارک مردانه paul shark,"['کاپشن', 'پاول', 'اند', 'شارک', 'مردانه', 'paul', 'shark']"
کاپشن پلار قایا(Gaya) مدل آنا,,0,کاپشن پلار قایا gaya مدل آنا,"['کاپشن', 'پلار', 'قایا', 'gaya', 'مدل', 'آنا']"
کاپشن۲۶۸۶,,0,کاپشن,['کاپشن']
کاپشن مردانه مدل Sezar,,0,کاپشن مردانه مدل sezar,"['کاپشن', 'مردانه', 'مدل', 'sezar']"
